GINI Index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
177,42.464,42.464,42.464,42.464,42.464,42.464,42.871,43.277,43.683,44.089,44.496,44.902,45.308,45.715,46.121,46.527,46.933,47.34,47.746,48.152,48.558,48.965,49.371,49.777,50.184,50.59,50.996,50.996,50.996,50.996,50.996
178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,53.951,54.128,54.338,54.613,54.95,54.792,54.405,54.316,54.61,54.39,54.078,54.053,53.932,52.96,52.114,52.07,51.635,51.66,50.91,50.057,49.535,49.261,48.823,48.629,48.729,48.695,48.708,48.338,48.298,48.094,47.735
180,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,41.912,42.044,42.177,42.31,42.443,42.576,42.708,42.329,41.95,41.571,41.192,40.812,40.433,40.433,40.433,40.433,40.433,40.433,40.433
181,30.516,30.59,31.181,31.755,32.118,32.65,32.556,32.315,32.291,32.312,32.431,32.785,32.758,32.5,32.546,32.693,32.895,32.661,32.351,32.509,32.624,32.534,32.672,32.65,32.727,32.572,32.467,32.29,32.124,32.332,32.239
182,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.924,48.823,48.721,48.62,48.518,48.417,48.316,48.214,48.113,48.012,49.027,50.042,51.057,52.072,53.088,54.103,55.118,55.118,55.118,55.118
183,37.213,37.126,37.022,36.906,37.146,37.397,37.656,37.917,38.003,38.087,38.165,38.177,38.451,38.795,38.82,38.959,38.42,37.999,37.97,38.083,37.942,37.521,37.641,37.224,37.174,37.2,36.433,35.61,35.161,34.591,34.648
184,64.09,64.313,64.536,61.498,58.46,55.421,55.416,55.41,55.404,55.398,55.393,55.387,55.381,55.063,54.744,54.425,54.106,54.242,54.379,54.515,54.651,54.787,54.923,54.676,54.429,54.183,53.936,53.689,53.442,53.196,53.196
185,29.886,29.535,29.184,28.833,28.482,28.131,27.78,27.428,27.44,26.085,32.086,28.076,29.89,31.704,33.518,35.332,37.146,36.489,35.831,35.173,34.515,35.253,35.99,36.728,35.952,35.175,34.399,32.618,30.13,28.674,28.103
186,54.019,54.019,54.019,54.019,54.019,54.019,54.019,54.019,54.019,54.019,54.019,54.022,54.025,54.027,54.03,54.033,54.036,54.039,52.704,51.369,50.034,48.698,47.363,46.028,43.708,41.389,39.069,36.75,34.43,32.111,32.111
187,69.756,68.677,67.592,66.508,65.423,64.338,63.254,62.169,61.084,60,58.915,57.83,56.745,55.661,54.576,53.935,53.293,52.652,52.011,51.369,50.728,50.087,50.245,50.403,50.562,50.72,50.878,51.037,51.195,51.195,51.195
188,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,43.487,42.812,42.137,41.462,40.787,40.113,39.371,38.713,40.004,40.234,40.234,40.234,40.234,40.234,40.234,40.234,40.234,40.234
189,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
190,22.024,22.312,22.048,20.146,21.666,23.186,24.705,26.225,26.331,26.437,26.544,26.65,26.756,26.863,26.969,27.075,26.283,25.49,24.698,25.567,26.437,27.306,27.64,27.975,28.309,26.031,26.585,24.519,23.211,24.983,23.234
191,29.886,28.265,26.643,25.022,24.801,24.58,24.359,24.137,27.44,26.085,24.052,28.076,27.094,26.112,25.129,24.147,24.021,23.895,23.77,24.408,25.046,25.684,27.331,27.04,26.748,26.457,26.192,25.563,25.023,25.434,25.159
192,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,45.77,44.831,43.893,42.954,42.015,41.076,40.137,39.199,39.199,39.199,39.199,39.199,39.199,39.199,39.199
193,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.911,48.442,48.972,49.503,50.034,50.565,51.096,51.627,52.157,52.688,53.219,53.75,54.281,54.812,54.812,54.812,54.812,54.812
194,68.786,68.786,68.786,68.786,69.235,69.684,70.134,69.551,68.969,68.387,67.804,67.222,68.973,70.725,72.476,74.227,72.727,71.227,69.726,72.46,72.877,69.76,66.643,66.853,67.063,67.274,67.096,66.918,66.918,66.918,66.918
195,53.658,53.94,54.221,54.503,54.785,55.067,55.348,55.63,55.912,56.194,56.475,56.757,57.039,57.321,57.602,57.884,58.166,58.448,58.729,59.011,59.011,59.011,59.011,59.011,59.011,59.011,59.011,59.011,59.011,59.011,59.011
196,32.393,31.988,33.256,34.524,35.792,37.06,36.602,36.143,35.685,35.227,34.768,34.31,34.155,34,33.845,33.69,33.176,32.662,32.147,33.148,34.148,35.148,35.588,36.029,36.469,36.289,36.109,35.929,34.853,34.849,34.41
197,45.481,45.429,45.378,45.326,45.274,45.222,45.17,45.547,45.923,46.3,46.677,47.053,47.43,47.722,48.015,48.307,48.6,48.892,48.879,48.865,48.852,48.438,48.025,47.611,47.118,46.625,46.132,46.132,46.132,46.132,46.132
198,40.798,40.798,40.798,40.798,40.798,40.798,40.798,39.539,40.653,40.811,40.969,41.128,41.286,41.444,41.603,41.761,43.597,43.071,46.546,45.023,43.501,44.78,43.293,43.613,43.932,44.252,44.571,44.891,44.891,44.891,44.891
199,51.422,51.597,51.772,51.948,52.123,52.298,52.473,52.649,52.824,52.999,53.174,53.35,53.525,53.7,53.875,54.051,54.226,54.401,54.576,54.752,54.493,54.235,53.976,53.718,53.46,53.46,53.46,53.46,53.46,53.46,53.46
200,52.32,52.908,53.496,54.085,54.673,55.261,55.85,56.438,57.026,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614,57.614
201,24.296,24.657,25.019,25.115,25.21,25.305,25.701,26.096,26.491,26.887,27.282,27.02,26.758,26.496,26.234,25.972,26.766,25.992,26.777,27.882,27.212,27.698,27.543,27.62,28.71,28.291,29.081,29.417,28.719,29.843,29.201
202,35.75,35.725,35.7,35.431,35.163,34.894,34.625,34.356,34.087,33.819,33.55,32.725,31.9,31.952,32.005,32.719,33.433,34.147,34.525,34.142,33.148,32.904,31.973,31.859,32.783,32.983,32.825,33.471,33.179,33.362,33.362
203,37.114,37.114,37.114,37.114,37.114,37.114,37.114,37.114,37.355,37.597,37.838,38.08,38.321,38.563,38.804,37.641,36.479,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316,35.316
204,32.592,32.592,32.592,32.592,32.592,32.592,32.592,32.592,32.592,32.592,33.188,33.783,34.379,34.974,35.636,35.266,34.897,34.528,33.986,33.445,33.859,34.273,34.687,35.101,35.515,35.929,35.929,35.929,35.929,35.929,35.929
205,44.533,45.509,46.484,44.874,43.263,43.045,42.827,42.349,41.871,43.088,42.835,42.494,42.154,42.424,42.693,42.411,42.129,40.653,40.972,40.513,40.299,38.914,40.182,39.208,38.595,37.831,38.527,38.245,38.196,37.038,37.179
206,38.378,38.378,38.378,38.378,38.378,38.378,38.378,38.378,38.378,38.378,38.378,38.378,37.378,36.378,35.377,34.377,33.377,32.377,32.47,32.563,32.655,32.748,32.841,32.934,33.026,33.026,33.026,33.026,33.026,33.026,33.026
207,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.002,56.553,57.104,57.655,58.207,58.758,58.238,57.719,57.199,56.68,56.541,56.402,56.263,56.124,56.124
208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.198,39.177,39.155,39.134,39.112,39.09,39.069,39.047,39.026,39.038,39.051,39.064,39.076,39.089,39.101,39.101,39.101,39.101,39.101,39.101
210,41.385,40.76,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134,40.134
