"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
205,7102.06,7619.04,8152.5,8745.55,9358.71,10017.93,10467.45,10059.38,9180.02,9489.82,9809.62,10053.82,10583.76,11260.16,11886.32,12304.4,12837.88,13460.06,13620.53,13458.53,14399.04,14450.48,15424.54,15767.36,15854.13,16285.39,16782.1,17422.95,18095.74,18453.47,17284.7
206,1849.84,1905.84,1970.7,2047.69,2142.85,2265.48,2396.3,2477.34,2237.11,2248.8,2328.06,2658.01,2422.16,2308.24,2258.38,2271.54,2132.31,2305.87,2522.19,2729.28,2931.43,3051.24,3143.28,3182.74,3266.73,3295.3,3342.61,3177.49,3094.13,3626.67,3925.95
207,1787.17,1733.92,1629.92,1355.31,1523.74,1602.2,1694.65,1879.04,1777.76,1765.48,1700.44,1667.65,1686.67,1754.91,1694.15,1573.68,1573,1513.16,1532.42,1573.97,1625.55,1683.86,1746.93,1805.49,1863.28,1920.47,1976.81,2012.24,2061.33,2121.9,2107.88
208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,3765.39,3999.62,4003.18,4145.96,4342.97,4652.09,4721.57,4761.83,4858.05,5015.63,5034.42,5195.57,5417.69,5511.12,5344.83,5312.37,5262.44,5232.32,5438.08,5129.89,5166.93,5541.77,5632.09,5703.42,5861.46,5944.45,6312.33,6467.12,6411.29,6378.13,6347
210,10080.84,10327.05,11299.7,11161.63,11505,11898.83,12713.82,13645.41,14732.28,15886.46,16939.53,17583.65,18896.25,21518.01,23110.75,24424.86,27522.37,28700.88,29538.91,28103.27,28879.29,28621.11,28798.5,29247.01,28796.56,29053.33,27281.86,26342.62,26250.37,25827.89,23722.48
211,5795.57,5889.43,6212.04,6216.66,6291.25,6328.07,6676.43,6943.95,7188.34,7541.31,7819.43,8045.37,8087.9,8405.2,8860.73,9092.99,9481.25,10015.76,10330.24,10532.11,10789.61,10504.73,10810.03,10934.88,11118.92,11112.85,11113.77,11234.49,11385.37,11417.13,10260.07
212,12629.47,12507.31,12923.08,13689.66,12844.21,13637.62,14413.16,15261.54,15384.55,14653.7,15433.59,14330.42,15031.22,15670.42,16968.87,18251.67,19277.53,20009.69,19933.07,18731.52,20027.67,21932.29,22610.68,24117.66,24881.73,25958.64,26385,27913.82,28318.44,28197.25,28393.47
213,7207.93,6685.07,5523.29,5451.06,4393.76,3987.55,4175.82,3642.19,3849.21,4431.46,4622.08,4772.18,4736.78,4843.57,5034.25,5629.07,6174.74,6773.1,7665.45,8015.81,8616.89,9717.64,10604,11471.18,12421.37,12993.53,13562.53,14205.03,14845.34,15538.42,15538.42
214,13588.48,14159.4,14511.39,15328.83,16456.96,16815.49,17315.24,17911.6,19001.83,19739.33,19741.36,19563.66,21020.52,21372.73,22414.39,24387.15,27583.75,28185.16,29788.75,23404.74,23298.16,23761.21,23049.45,22849.58,24392.02,26693.1,28175.25,27060.59,28160.89,29251.08,21126.95
215,2610.77,2673.79,2719.39,2805.31,3072.08,2906.1,2727.28,2996.56,3459.58,3401.1,3350.88,3374.73,3597.23,3430.47,3333.68,3167.25,3196.31,3365.7,3600.56,3408.57,3281.5,3493.28,3322.39,3440.82,3447.8,3720.31,3787.82,3896.75,3945.56,4274.76,4411
216,913.73,932.29,932.57,977.86,1008.01,1090.04,1153.91,1177.89,1200.45,1259.74,1260.98,1286.17,1355.24,1397.8,1446.15,1489.78,1599.22,1679.96,1769.52,1830.95,1873.51,1985.27,1996.92,2002.72,2035.58,2067.59,2088.65,2074.65,2124.79,2182.9,2175.03
217,15751.72,14396.63,12962.94,11112.68,8606.61,7616.55,6915.98,6769.92,6700.9,6750.84,7221.47,7969.42,8467.8,9349.13,10561.01,10957.56,11852.65,12829.03,13195.88,11298.39,11778.31,12466.81,12527.47,12552.67,12408.95,11237.07,11534.64,11871.12,12338,12808.8,12377.02
218,111454.06,106103.55,103470.92,98978.47,100213.16,101570.99,102211.64,105109,100100.44,97698.54,102494.71,98621.54,95909.15,97795.03,97757.86,90894.9,86425.9,76620.32,68798.42,58374.62,54921.8,56122.58,57389.32,59920.15,62452.18,65267.42,66510.89,67183.61,66968.22,68263.68,63299.42
219,31217.22,30777.53,30817.52,31509.19,32637.84,33375.71,34099.32,35681.24,36699.52,37671.07,38915.2,39569.15,40238.59,41265.17,41997.61,42791.9,43576.2,44219.49,43767.7,41592.93,42147.77,42429.21,42754.54,43271.83,44239.15,45041.06,45712.78,46372.39,46853.2,47368.58,42535.58
220,1392.22,1374.65,1336.38,1307.67,1286.49,1294.01,1317.56,1331.37,1349.21,1382.11,1409.45,1456.57,1518.09,1574.78,1645.84,1719.73,1781.28,1848.99,1899.48,1943.04,2006.97,2098.28,2128.53,2205.95,2284.96,2354.14,2441.64,2530.6,2590.2,2660.42,2635.34
221,40436.94,39856.99,40692.64,41264.66,42403.93,43026.72,44133.48,45516,47004.61,48676.66,50124.89,50126.72,50528.79,51529.73,52994.55,54353.07,55368.36,55873.24,55271.66,53399.37,54315.91,54758.83,55581.41,56214.43,57213.27,58540.3,59112.24,60109.66,61585.76,62630.87,60138.45
222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223,11066.13,11377.03,12190.65,12422.96,13230.03,12945,13569.81,14627.13,15191.05,14820.12,14482.75,13901.99,12824.87,12937.43,13593.73,14606.47,15188.64,16151.37,17266.53,17948.43,19293.74,20231.57,20885.11,21786.21,22419.04,22425.83,22724.02,23009.87,23035.08,23032.73,21608.43
224,3638.88,3544.59,3074.66,2936.45,2729.64,2656.63,2650.61,2736.36,2808.46,2897.82,2967.6,3052.28,3134.96,3229.85,3430.63,3626.62,3849.59,4154.7,4457.7,4736,4953.96,5185.68,5472.83,5781.16,6075.19,6401.12,6663.95,6840.71,7082.93,7348.15,7331.86
225,2855.9,2864.82,2854.46,2793.24,2965.5,2923.44,2929.46,3017.05,2999.91,2955.69,3068.1,2897.36,2679.92,2724.14,2761.12,2835.93,3002.86,3017.52,3112.33,3129.65,3088.98,3101.33,3046.69,2975.9,2984.61,2915.7,2973.47,3081.84,3093.46,3137.24,2854.29
226,14488.94,15608.08,16293.76,16066.64,15449.27,15798.07,15539.51,16285.8,16116,14946.52,15299.83,15633.79,14057.09,12823.85,14994.15,16340.47,17772.14,19010.33,19702.47,18853.82,18703.62,19403.87,20281.89,23430.94,22215.06,20558.52,16640.79,14082.33,11710.5,7784.13,7784.13
227,1673.25,1736.01,1847.62,1957.64,2091.6,2252.63,2425.53,2587.06,2701.77,2797.79,2954.98,3105.64,3269.88,3462.88,3689.73,3931.77,4167.11,4422.29,4628.03,4830.31,5089.41,5352.02,5574.49,5815.18,6098.54,6438.26,6767.78,7155.44,7585.94,8041.18,8200.33
228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
230,3960.37,4004.03,4110.96,4059.16,4127.74,4180.5,4215.77,4294.61,4421.96,4461.4,4605.61,4645.99,4693.08,4730.7,4779.78,4904.64,4917.4,4938.05,4973.99,5022.68,5261.93,4469.91,4457.88,4554.1,4432.73,3109.69,2740.12,2538.84,2498.35,2509.36,2509.36
231,2190.18,2133.69,2045.97,2133.26,1902.39,1908.7,1974.62,1994.85,1933,1968.22,1990.86,2042.54,2080.2,2168.33,2261.77,2362.9,2483.21,2619.72,2747.44,2917.52,3125.53,3201.29,3339.27,3399.7,3450.04,3443.55,3467.89,3485.02,3521.55,3470.44,3277.82
232,4166.53,4294.67,3828.8,3801.99,4090.8,4043.77,4412.28,4486.99,4579.58,4513.07,4353.37,4400.33,3998.77,3311.44,3109.35,2917.98,2798.72,2674.38,2179.85,2413.13,2849.08,3203.87,3674.87,3681.95,3703.9,3707.62,3678.22,3795.64,3923.03,3630.03,3353.41
