"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
138,16222.28,14903.91,11310.9,7323.49,7549.74,8770.77,11453.01,12579.28,13236.01,12024.69,12419,12505.17,12692.29,12955.58,13505.05,14048.85,15233.38,16248.34,17391.03,16348.09,16764.36,17287.42,16802.4,17381.74,17674.62,18263.61,18797.9,19682.28,20686.58,21533.95,18258.97
139,33047.08,25840.55,25832.47,25009.13,26685.1,25245.42,21246.49,19345.63,19282.2,21230.18,22111.74,23725.19,25035.69,24742.8,24264.07,23294.9,23063.44,23268.51,23702.64,24456.52,22367.29,23368.36,22767.18,20328.62,20109.05,20687.17,20968.78,18753.76,19463.05,20583.24,20583.24
140,3816.99,4018.55,3864.74,3770.52,4101.8,3820.54,4231.49,4109,4349.62,4341.83,4370.8,4634.19,4721.95,4944.39,5120.83,5227.56,5558.05,5687.23,5952.66,6129.11,6281.46,6522.37,6625.46,6828.22,6912.18,7126.67,7106.24,7312.06,7446.94,7537.49,6916.35
141,471.33,481.9,436.72,464.02,475.25,469.19,506.15,548.35,587.86,640.25,630.7,687.15,729.29,756.59,792.73,821.35,875.92,917.8,958.28,991.32,1027.21,1073.48,1120.13,1165.41,1217.09,1262.61,1273.78,1283.66,1289.74,1281.78,1229.94
142,564.23,562.65,580.81,618.79,653.23,692.02,729.15,763.28,796.92,853.82,948.78,1055.65,1167.4,1306.77,1473.02,1659.69,1867.15,2086.99,2303.8,2527.39,2762.61,2947.66,3113.01,3330.47,3574.03,3663.14,4020.24,4224.55,4467.86,4739.71,4857.39
143,5945.97,6242,6511.9,6251.82,6213.23,6312.57,6374.95,6508.4,6592.16,6689.77,6804.87,6775.22,6992.87,7182.31,7942.56,8014.97,8438.22,8735.71,8805.41,8671.66,9031.16,9324.53,9626.54,9990.75,10413.31,10662.83,10471.28,10171.42,10087.46,9812.61,8814.59
144,4219.63,4358.17,4418.12,4460.61,4564.52,4713.1,4870.21,4963.87,4885.08,4983.73,5172.79,5196.86,5287.9,5392.51,5575.51,5438.4,5960.96,4589.58,5590.18,6058.52,6688.65,7313.67,8090.93,10493.21,13175.92,13551.96,13901.95,12975.39,13636.36,13527.41,13594.49
145,1616.65,1675.29,1697.48,1715.37,1807.7,1824,1876.46,1928.05,1945.45,1992.23,2077.65,2141.07,2110.82,2163.02,2234.15,2282.69,2330.33,2380.97,2499.42,2591.63,2703.41,2793.02,2922.62,3033.78,3217.45,3331.87,3315.81,3565.2,3773.72,3952.76,3800.07
146,36461.42,37057.58,37405.93,37613.25,38494.22,39498.14,40691.89,42235.49,43933.57,45839.13,47422.2,48160.78,47958.33,47806.88,48586.7,49467.44,51097.36,52909.97,53848.25,51607.61,52032.99,52594.23,51860.06,51640.08,52187,52974.12,53847.83,55088.63,56060.91,56784.04,54325.51
147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,28086.82,26466.67,26479.04,27852.04,28891.04,29815.79,30409.09,30627.8,30599.32,32098.15,32837.1,33775.23,34745.17,35616.11,36504.2,37293.21,37902.75,38687.85,37933.15,37505.05,37657.14,38214.47,38857.12,39599.19,40432.24,41086.12,41672.1,42285.32,42866.13,42877.94,42774.69
149,3454.21,3371.62,3309.47,3224.09,3261.17,3384.79,3531.67,3606.28,3676.93,3872.24,3968.83,4025.94,3998.81,4043.22,4200.22,4320.68,4438.86,4600.54,4693.59,4477.34,4611.79,4837.5,5083.29,5263.41,5443.24,5630.3,5811.81,6004.01,5729.68,5451.67,5280.1
150,1124.12,1083.78,1069.59,1037.48,1021.22,1010.82,977.2,957.86,1016.67,978.78,932.68,964.72,975.75,960.83,929.22,960.85,980.45,973.98,1010.38,991.7,1036.16,1020.26,1084.76,1098.64,1126.81,1131.52,1151.18,1163.23,1200.4,1224.38,1221.27
151,3259.64,3189.09,3253.69,3108.67,2977.09,2901.77,2949.2,2961.2,2962.89,2906.72,2977.04,3075,3458.07,3619.14,3854.01,3997.44,4130.4,4288.27,4458.62,4690.38,4932.33,5056.89,5131.37,5329.12,5516.39,5514.77,5284.89,5190.36,5155.08,5135.5,4916.72
152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,11378.16,10691.65,10013.05,9286.8,9134.16,9025.3,9103.88,9200.62,9461.01,9824.45,10224.7,9869.53,10089.96,10280.55,10730.52,11213.65,11770.21,12511.73,13174.84,13103.44,13515,13807.48,13727.79,14108.91,14596.62,15139.27,15553.46,15706.46,16145.55,16773.06,15931.38
154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,42136.62,43229.93,44517.45,45512.4,47541.78,49260.98,51476.22,53903.45,54989.72,55713.77,57127.4,58018.33,58540.86,58728.18,60699.59,61870.38,62846.96,64062.44,63570.36,61689.58,61353.5,61157.15,61990.71,61878.99,62390.15,62987.54,63104.1,64050.76,64341.26,64452.81,63583.74
156,26644.34,27044.89,27997.1,28416.14,28469.05,29134.21,29586.94,31189.29,31983.57,32046.34,33948.87,35053.63,34075.28,32452.86,32074.32,32012.61,32823.89,33299.53,34801.67,35320.99,33974.41,32600.88,33068.11,32293.34,30625.15,30251.55,30257.65,29077.36,28442.56,27382.77,27382.77
157,2915.9,2976.91,3118.14,3086.89,3115.1,3179.51,3240.09,3180.35,3169.89,3196.28,3245.38,3277.05,3279.03,3388.18,3560.81,3706.82,3836.49,3931.18,3908.6,3930.51,3906.87,3928.52,3980.75,4069.27,4171.29,4278.35,4421.58,4571.21,4739.47,4697.73,4562.62
158,11204.74,11572.62,11731.81,11844.64,12120.56,12515.1,12932.27,13180.97,12971.77,13233.73,13735.75,14404.7,14728.88,14125.96,14775.37,15420.24,15545.49,16179.21,15611.23,14915.65,15227.62,16433.94,16815.88,16275.81,17278.59,18539.16,18468.29,17770.56,17650.42,17229.15,15473.25
159,10726,11493.62,12181.22,12583.78,12679.48,12639.99,12889.27,13445.02,14142.63,14405.38,14507.79,14311.02,14353.37,14677.99,15491,16301.51,17391.09,19125.63,20636.93,20525.62,21343.33,23349.17,25196.31,26480.56,27352.52,28430.99,29332.38,30446.85,31039.07,31440.26,25389.81
160,2434.7,2605.22,2898.15,3347.57,3464.85,3271.67,3440.33,3225.66,3028.93,3012.59,2871.42,2806.95,2745.51,2748.7,2765.35,2877.12,2963.42,3119.18,3035.17,3165.09,3406.64,3369.84,3453.39,3513.02,3909.34,4083.75,4222.52,4285.63,4190.09,4293.13,4063.73
161,8475.74,8547.34,8475.92,8678.58,8923.5,9311.34,9243.47,9422.68,9226.51,8911.16,8530.21,8295.07,8138.1,8337.47,8528.04,8570.09,8846.7,9193.84,9657.68,9503.27,10415.66,10714.69,10493.81,11209.13,11643.73,11828.14,12170.78,12590.55,12827.71,12615.53,12389.59
162,5249.2,5258.26,5128.63,5295.8,5837.09,6154.17,6210.22,6492.55,6354.43,6345.5,6422.48,6380.34,6653.4,6861.83,7136.35,7519.03,8017.26,8629.26,9341.23,9368.05,10066.47,10616.84,11176.09,11724,11877.08,12110.27,12403.69,12506.53,12781.42,12853.69,11260.85
163,4209.48,4088.1,4006.34,3997.01,4074.73,4165.25,4309.45,4431.84,4312.15,4359.89,4453.76,4492.72,4562.76,4697.49,4908.06,5054.24,5228.32,5474.68,5618.48,5606.59,5918.37,6043.6,6351.26,6666.25,6973.64,7300.14,7705.05,8120.87,8516.14,8914.72,7953.58
164,11314.96,10483.9,10714.66,11086.96,11649.16,12459.67,13211.57,14054.39,14701.34,15386.94,16257.65,16466.79,16809.82,17409.64,18287.83,18937.48,20111.3,21543.16,22444.91,23064.95,23996.14,25124.28,25457.21,25759.34,26649.58,27797.06,28682.69,30064.5,31674.13,33185.16,32354.54
165,23556.86,24642.6,24930.45,24391.2,24560.36,25523.71,26318.98,27354.84,28525.52,29472.71,30383.14,30756.02,30823.85,30422.6,30892.82,31076.64,31524.75,32251.57,32307.91,31269.41,31798.15,31304.82,30156.7,30042.89,30444.6,31118.79,31847.54,33044.72,34040.73,34945.66,31935.47
166,21595.98,21937.9,22791.57,23650.11,24412.28,25288.11,25584.57,26584.91,27894.45,29251.04,30124.7,31958.1,32209.43,32206.47,35016.95,34370.72,34030.1,33831.94,33403.43,32930.37,32960.7,33224.57,33638.87,33922.17,34070.26,34311.04,34539.6,34363.75,34299.37,34804.94,33442.84
167,22129.29,23476.6,28438.4,30667.25,33946.04,37735.5,42340.13,58587.6,68908.12,75878.93,86566.3,86643.64,89119.38,86886.95,93748.55,87721.95,93656.34,92749.56,92555.3,89954.85,95908.31,99147.29,96261.49,95499.91,95578.26,95965.25,95601.81,91738.75,90970.06,89966.45,85290.45
168,12656.4,13882.42,14590.53,15436.39,16698.28,18120.49,19364.94,20367.97,19184.22,21232.61,22963.64,23893.9,25591.4,26260.37,27515.95,28640.71,29990.52,31569.93,32275.13,32363.97,34394.49,35388.98,36049.19,37021.13,37967.48,38828.74,39814.66,40957.42,41948.35,42804.67,42381.37
